priority,keyword,category,functional_group
1,milk,Dairy Liquid,DAIRY_LIQUID
1,buttermilk,Dairy Liquid,DAIRY_LIQUID
1,kefir,Dairy Liquid,DAIRY_LIQUID
1,whey,Dairy Liquid,DAIRY_LIQUID
1,oat_milk,Dairy Liquid,DAIRY_LIQUID
1,almond_milk,Dairy Liquid,DAIRY_LIQUID
1,soy_milk,Dairy Liquid,DAIRY_LIQUID
1,coconut_milk,Dairy Liquid,DAIRY_LIQUID
2,half-and-half,Dairy Liquid,DAIRY_LIQUID
2,half_and_half,Dairy Liquid,DAIRY_LIQUID
2,heavy_cream,Dairy Liquid,DAIRY_LIQUID
2,whipping_cream,Dairy Liquid,DAIRY_LIQUID
2,light_cream,Dairy Liquid,DAIRY_LIQUID
2,evaporated_milk,Dairy Liquid,DAIRY_LIQUID
2,condensed_milk,Dairy Liquid,DAIRY_LIQUID
3,cream_cheese,Dairy Soft,DAIRY_SOFT
3,sour_cream,Dairy Soft,DAIRY_SOFT
3,creme_fraiche,Dairy Soft,DAIRY_SOFT
3,fromage,Dairy Soft,DAIRY_SOFT
3,quark,Dairy Soft,DAIRY_SOFT
3,cottage_cheese,Dairy Soft,DAIRY_SOFT
3,yogurt_cheese,Dairy Soft,DAIRY_SOFT
3,farmer_cheese,Dairy Soft,DAIRY_SOFT
4,yogurt,Dairy Soft,DAIRY_SOFT
4,ricotta,Dairy Soft,DAIRY_SOFT
4,mascarpone,Dairy Soft,DAIRY_SOFT
5,cheese,Cheese,CHEESE
5,cheddar,Cheese,CHEESE
5,parmesan,Cheese,CHEESE
5,mozzarella,Cheese,CHEESE
5,gruyere,Cheese,CHEESE
5,gouda,Cheese,CHEESE
5,brie,Cheese,CHEESE
5,camembert,Cheese,CHEESE
5,feta,Cheese,CHEESE
5,romano,Cheese,CHEESE
5,roquefort,Cheese,CHEESE
5,blue_cheese,Cheese,CHEESE
5,goat_cheese,Cheese,CHEESE
5,pecorino,Cheese,CHEESE
5,provolone,Cheese,CHEESE
5,swiss,Cheese,CHEESE
5,emmental,Cheese,CHEESE
5,gorgonzola,Cheese,CHEESE
5,manchego,Cheese,CHEESE
5,kasseri,Cheese,CHEESE
6,butter,Solid Fat,SOLID_FAT
6,margarine,Solid Fat,SOLID_FAT
6,ghee,Solid Fat,SOLID_FAT
6,lard,Solid Fat,SOLID_FAT
6,shortening,Solid Fat,SOLID_FAT
6,suet,Solid Fat,SOLID_FAT
6,tallow,Solid Fat,SOLID_FAT
6,schmaltz,Solid Fat,SOLID_FAT
6,cocoa_butter,Solid Fat,SOLID_FAT
6,shea_butter,Solid Fat,SOLID_FAT
7,olive_oil,Liquid Oil,LIQUID_OIL
7,canola_oil,Liquid Oil,LIQUID_OIL
7,vegetable_oil,Liquid Oil,LIQUID_OIL
7,sunflower_oil,Liquid Oil,LIQUID_OIL
7,grapeseed_oil,Liquid Oil,LIQUID_OIL
7,peanut_oil,Liquid Oil,LIQUID_OIL
7,sesame_oil,Liquid Oil,LIQUID_OIL
7,corn_oil,Liquid Oil,LIQUID_OIL
7,coconut_oil,Liquid Oil,LIQUID_OIL
7,avocado_oil,Liquid Oil,LIQUID_OIL
7,walnut_oil,Liquid Oil,LIQUID_OIL
7,flaxseed_oil,Liquid Oil,LIQUID_OIL
8,oil,Liquid Oil,LIQUID_OIL
9,sugar,Sweetener,SWEETENER
9,honey,Sweetener,SWEETENER
9,maple,Sweetener,SWEETENER
9,molasses,Sweetener,SWEETENER
9,agave,Sweetener,SWEETENER
9,syrup,Sweetener,SWEETENER
9,stevia,Sweetener,SWEETENER
9,nectar,Sweetener,SWEETENER
9,fructose,Sweetener,SWEETENER
9,sucrose,Sweetener,SWEETENER
9,treacle,Sweetener,SWEETENER
9,dextrose,Sweetener,SWEETENER
9,glucose,Sweetener,SWEETENER
10,vinegar,Acid/Sour,ACID
10,cider_vinegar,Acid/Sour,ACID
10,balsamic,Acid/Sour,ACID
10,wine_vinegar,Acid/Sour,ACID
10,tamarind,Acid/Sour,ACID
10,lemon_juice,Acid/Sour,ACID
10,lime_juice,Acid/Sour,ACID
11,basil,Herb,HERB
11,thyme,Herb,HERB
11,oregano,Herb,HERB
11,rosemary,Herb,HERB
11,parsley,Herb,HERB
11,cilantro,Herb,HERB
11,marjoram,Herb,HERB
11,sage,Herb,HERB
11,tarragon,Herb,HERB
11,dill,Herb,HERB
11,chives,Herb,HERB
11,mint,Herb,HERB
11,bay_leaf,Herb,HERB
11,bay_laurel,Herb,HERB
11,lovage,Herb,HERB
11,savory,Herb,HERB
11,lemon_thyme,Herb,HERB
11,sweet_marjoram,Herb,HERB
11,epazote,Herb,HERB
11,chervil,Herb,HERB
11,lemon_verbena,Herb,HERB
11,spearmint,Herb,HERB
11,peppermint,Herb,HERB
12,pepper,Spice,SPICE
12,cumin,Spice,SPICE
12,coriander,Spice,SPICE
12,cardamom,Spice,SPICE
12,turmeric,Spice,SPICE
12,cinnamon,Spice,SPICE
12,clove,Spice,SPICE
12,nutmeg,Spice,SPICE
12,allspice,Spice,SPICE
12,star_anise,Spice,SPICE
12,anise,Spice,SPICE
12,fennel_seed,Spice,SPICE
12,mustard_seed,Spice,SPICE
12,fenugreek,Spice,SPICE
12,caraway,Spice,SPICE
12,carom,Spice,SPICE
12,mace,Spice,SPICE
12,saffron,Spice,SPICE
12,paprika,Spice,SPICE
12,chili,Spice,SPICE
12,cayenne,Spice,SPICE
12,ginger,Spice,SPICE
12,galangal,Spice,SPICE
12,horseradish,Spice,SPICE
12,wasabi,Spice,SPICE
12,sumac,Spice,SPICE
12,za_atar,Spice,SPICE
12,ras_el_hanout,Spice,SPICE
12,five_spice,Spice,SPICE
12,berbere,Spice,SPICE
12,baharat,Spice,SPICE
12,peppercorn,Spice,SPICE
13,onion,Allium,ALLIUM
13,garlic,Allium,ALLIUM
13,shallot,Allium,ALLIUM
13,leek,Allium,ALLIUM
13,scallion,Allium,ALLIUM
13,chive,Allium,ALLIUM
13,green_onion,Allium,ALLIUM
13,ramp,Allium,ALLIUM
14,potato,Root Vegetable,ROOT_VEG
14,sweet_potato,Root Vegetable,ROOT_VEG
14,yam,Root Vegetable,ROOT_VEG
14,carrot,Root Vegetable,ROOT_VEG
14,parsnip,Root Vegetable,ROOT_VEG
14,turnip,Root Vegetable,ROOT_VEG
14,beet,Root Vegetable,ROOT_VEG
14,celeriac,Root Vegetable,ROOT_VEG
14,radish,Root Vegetable,ROOT_VEG
14,rutabaga,Root Vegetable,ROOT_VEG
14,kohlrabi,Root Vegetable,ROOT_VEG
15,spinach,Leafy Green,LEAFY_GREEN
15,kale,Leafy Green,LEAFY_GREEN
15,chard,Leafy Green,LEAFY_GREEN
15,arugula,Leafy Green,LEAFY_GREEN
15,lettuce,Leafy Green,LEAFY_GREEN
15,endive,Leafy Green,LEAFY_GREEN
15,radicchio,Leafy Green,LEAFY_GREEN
15,watercress,Leafy Green,LEAFY_GREEN
15,purslane,Leafy Green,LEAFY_GREEN
15,rapini,Leafy Green,LEAFY_GREEN
15,bok_choy,Leafy Green,LEAFY_GREEN
15,collard,Leafy Green,LEAFY_GREEN
16,tomato,Fruiting Veg,FRUITING_VEG
16,eggplant,Fruiting Veg,FRUITING_VEG
16,zucchini,Fruiting Veg,FRUITING_VEG
16,squash,Fruiting Veg,FRUITING_VEG
16,pumpkin,Fruiting Veg,FRUITING_VEG
16,cucumber,Fruiting Veg,FRUITING_VEG
16,okra,Fruiting Veg,FRUITING_VEG
16,chayote,Fruiting Veg,FRUITING_VEG
16,avocado,Fruiting Veg,FRUITING_VEG
17,bell_pepper,Fruiting Veg,FRUITING_VEG
17,capsicum,Fruiting Veg,FRUITING_VEG
17,poblano,Fruiting Veg,FRUITING_VEG
17,jalapeno,Fruiting Veg,FRUITING_VEG
17,serrano,Fruiting Veg,FRUITING_VEG
17,habanero,Fruiting Veg,FRUITING_VEG
18,broccoli,Brassica,BRASSICA
18,cauliflower,Brassica,BRASSICA
18,cabbage,Brassica,BRASSICA
18,brussels_sprout,Brassica,BRASSICA
18,kohlrabi,Brassica,BRASSICA
19,lentil,Legume,LEGUME
19,chickpea,Legume,LEGUME
19,soybean,Legume,LEGUME
19,edamame,Legume,LEGUME
19,fava,Legume,LEGUME
19,black_eyed_pea,Legume,LEGUME
19,lima_bean,Legume,LEGUME
19,adzuki,Legume,LEGUME
19,pea,Legume,LEGUME
19,bean,Legume,LEGUME
20,rice,Whole Grain,WHOLE_GRAIN
20,pasta,Whole Grain,WHOLE_GRAIN
20,noodle,Whole Grain,WHOLE_GRAIN
20,couscous,Whole Grain,WHOLE_GRAIN
